occupation_id,occupation_label
http://data.europa.eu/esco/occupation/1c5a45b9-440e-4726-b565-16a952abd341,computer vision engineer
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,artificial intelligence engineer
