occupation_id,skill_id,relation,occupation_label,skill_label,skill_type
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,essential,data scientist,data mining,knowledge
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,data scientist,statistics,knowledge
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,essential,data scientist,data science,knowledge
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,optional,data scientist,manage ICT data classification,skill/competence
http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,data scientist,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,electronics engineering technician,data mining,knowledge
http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,electronics engineering technician,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,electronics engineering technician,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,electronics engineering technician,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/2ac509e8-2850-42c3-b11d-d24077a7921b,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,marine engineering drafter,data mining,knowledge
http://data.europa.eu/esco/occupation/2ac509e8-2850-42c3-b11d-d24077a7921b,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,marine engineering drafter,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/2ac509e8-2850-42c3-b11d-d24077a7921b,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,marine engineering drafter,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/2ac509e8-2850-42c3-b11d-d24077a7921b,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,marine engineering drafter,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/2bb8adee-2b84-4d7b-84f9-0620bc09ada8,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,instrumentation engineering technician,data mining,knowledge
http://data.europa.eu/esco/occupation/2bb8adee-2b84-4d7b-84f9-0620bc09ada8,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,instrumentation engineering technician,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/2bb8adee-2b84-4d7b-84f9-0620bc09ada8,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,instrumentation engineering technician,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,essential,artificial intelligence engineer,data mining,knowledge
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4,essential,artificial intelligence engineer,artificial neural networks,knowledge
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,essential,artificial intelligence engineer,principles of artificial intelligence,knowledge
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,essential,artificial intelligence engineer,data science,knowledge
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,essential,artificial intelligence engineer,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669,optional,artificial intelligence engineer,computer vision,knowledge
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080,optional,artificial intelligence engineer,deep learning,knowledge
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,optional,artificial intelligence engineer,manage ICT data classification,skill/competence
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,artificial intelligence engineer,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,essential,information manager,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,information manager,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/42dbb769-4c91-47dc-bd16-ec8e70c4180f,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,solar energy engineer,data mining,knowledge
http://data.europa.eu/esco/occupation/42dbb769-4c91-47dc-bd16-ec8e70c4180f,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,solar energy engineer,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/42dbb769-4c91-47dc-bd16-ec8e70c4180f,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,solar energy engineer,analyse big data,skill/competence
